videoname,original_width,original_height,label,original
gcpjokmohj.mp4,129,129,REAL,
cxqhrnxgvd.mp4,185,186,FAKE,jwbsicnbyc.mp4
boxfdbfgsn.mp4,186,185,FAKE,jcfhtypqnv.mp4
rxfawebswj.mp4,267,267,FAKE,mtpvrsdblr.mp4
jmrfbhqnqk.mp4,185,185,REAL,
penimmldnu.mp4,108,107,FAKE,wnlnuotcpw.mp4
vvysgggofo.mp4,154,155,REAL,
ljmfspasvu.mp4,223,223,FAKE,aovrlwlzpr.mp4
yavswhuxyv.mp4,89,89,FAKE,nhshcfhcxe.mp4
ytaifkeiky.mp4,107,107,FAKE,dkfyvfjcpr.mp4
cdokbxxevk.mp4,90,90,FAKE,rqjgnhozqa.mp4
hzizolqfbh.mp4,185,186,FAKE,dntzhkxgsb.mp4
qcuqbqrfet.mp4,186,185,FAKE,vntbyeepdy.mp4
pknbvilvkl.mp4,185,186,FAKE,plxzimfwjj.mp4
nruhibpcqv.mp4,268,267,FAKE,ckradivqua.mp4
jjkmqbixix.mp4,90,90,FAKE,ujivurbzyc.mp4
vqsgtapaup.mp4,186,186,FAKE,xniuxdhzew.mp4
vqwavqlbxr.mp4,267,268,FAKE,xihcuecetu.mp4
jcbrkrekbh.mp4,186,186,FAKE,llagpqxcma.mp4
sayltcvsng.mp4,223,223,REAL,
tnetytnegv.mp4,185,185,REAL,
gqgtmhrmxe.mp4,89,89,REAL,
nalpnekwbg.mp4,129,129,FAKE,dcwokudqws.mp4
hakypmoszz.mp4,223,223,FAKE,rrmhobgxhe.mp4
najphkkwhw.mp4,268,268,FAKE,iodykticnh.mp4
xwtcmccgdp.mp4,155,155,FAKE,mymhqwifwb.mp4
oejowaknsm.mp4,129,129,FAKE,qbearsyziz.mp4
xbxdzcqeva.mp4,107,107,FAKE,rppvnvhlwc.mp4
iipackcsoi.mp4,108,107,FAKE,nyhvhszbuw.mp4
chqzqmzwcc.mp4,90,89,FAKE,gqatosifpz.mp4
ntqwhlovhk.mp4,186,186,FAKE,wediirbvdv.mp4
arhxaejjgk.mp4,89,90,FAKE,inyhiitiqt.mp4
obokfocdbh.mp4,108,107,REAL,
